a,b
1544.54500,0.24194
1544.55000,0.24720
1544.55500,0.25312
1544.56000,0.25739
1544.56500,0.25674
1544.57000,0.24983
1544.57500,0.24391
1544.58000,0.24227
1544.58500,0.24325
1544.59000,0.24457
1544.59500,0.24884
1544.60000,0.25641
1544.60500,0.26364
1544.61000,0.26660
1544.61500,0.26529
1544.62000,0.26003
1544.62500,0.25509
1544.63000,0.24819
1544.63500,0.24753
1544.64000,0.24588
1544.64500,0.24884
1544.65000,0.25279
1544.65500,0.25739
1544.66000,0.25772
1544.66500,0.25509
1544.67000,0.25049
1544.67500,0.24654
1544.68000,0.23996
1544.68500,0.23766
1544.69000,0.23536
1544.69500,0.23931
1544.70000,0.24391
1544.70500,0.24819
1544.71000,0.24983
1544.71500,0.24950
1544.72000,0.24786
1544.72500,0.24292
1544.73000,0.23437
1544.73500,0.23043
1544.74000,0.23108
1544.74500,0.23470
1544.75000,0.23404
1544.75500,0.22812
1544.76000,0.21859
1544.76500,0.20477
1544.77000,0.18438
1544.77500,0.16202
1544.78000,0.13637
1544.78500,0.10677
1544.79000,0.08934
1544.79500,0.08539
1544.80000,0.09164
1544.80500,0.09789
1544.81000,0.10183
1544.81500,0.11696
1544.82000,0.14064
1544.82500,0.16235
1544.83000,0.17780
1544.83500,0.18668
1544.84000,0.18899
1544.84500,0.19030
1544.85000,0.18932
1544.85500,0.19030
1544.86000,0.19326
1544.86500,0.19918
1544.87000,0.20839
1544.87500,0.21563
1544.88000,0.21957
1544.88500,0.21957
1544.89000,0.21793
1544.89500,0.21497
1544.90000,0.21234
1544.90500,0.21332
1544.91000,0.21365
1544.91500,0.21826
1544.92000,0.22286
1544.92500,0.22549
1544.93000,0.22648
1544.93500,0.22483
1544.94000,0.22352
1544.94500,0.21727
1544.95000,0.21267
1544.95500,0.21102
1544.96000,0.21398
1544.96500,0.21793
1544.97000,0.22155
1544.97500,0.22648
1544.98000,0.22747
1544.98500,0.22648
1544.99000,0.22155
1544.99500,0.21365
1545.00000,0.20971
1545.00500,0.21168
1545.01000,0.21628
1545.01500,0.22056
1545.02000,0.22352
1545.02500,0.22615
1545.03000,0.22516
1545.03500,0.22220
1545.04000,0.21530
1545.04500,0.21135
1545.05000,0.20839
1545.05500,0.20773
1545.06000,0.20905
1545.06500,0.20971
1545.07000,0.21234
1545.07500,0.21102
1545.08000,0.20576
1545.08500,0.19688
1545.09000,0.18668
1545.09500,0.17879
1545.10000,0.17254
1545.10500,0.16827
1545.11000,0.16235
1545.11500,0.15248
1545.12000,0.13571
1545.12500,0.10874
1545.13000,0.08177
1545.13500,0.06730
1545.14000,0.07289
1545.14500,0.08407
1545.15000,0.09920
1545.15500,0.12157
1545.16000,0.15215
1545.16500,0.18109
1545.17000,0.19688
1545.17500,0.20412
1545.18000,0.21135
1545.18500,0.21760
1545.19000,0.22582
1545.19500,0.23273
1545.20000,0.23963
1545.20500,0.24259
1545.21000,0.23996
1545.21500,0.23667
1545.22000,0.23437
1545.22500,0.23437
1545.23000,0.23635
1545.23500,0.24062
1545.24000,0.24457
1545.24500,0.24753
1545.25000,0.24884
1545.25500,0.24424
1545.26000,0.23799
1545.26500,0.23404
1545.27000,0.23240
1545.27500,0.23371
1545.28000,0.23569
1545.28500,0.24194
1545.29000,0.24720
1545.29500,0.25147
1545.30000,0.25082
1545.30500,0.24490
1545.31000,0.23667
1545.31500,0.23174
1545.32000,0.22878
1545.32500,0.22779
1545.33000,0.22911
1545.33500,0.23503
1545.34000,0.24194
1545.34500,0.24654
1545.35000,0.24555
1545.35500,0.24161
1545.36000,0.23667
1545.36500,0.23371
1545.37000,0.23043
1545.37500,0.22878
1545.38000,0.22812
1545.38500,0.23043
1545.39000,0.23371
1545.39500,0.23635
1545.40000,0.23503
1545.40500,0.23141
1545.41000,0.22483
1545.41500,0.21793
1545.42000,0.21267
1545.42500,0.21201
1545.43000,0.21332
1545.43500,0.21102
1545.44000,0.20083
1545.44500,0.18668
1545.45000,0.17156
1545.45500,0.15445
1545.46000,0.14886
1545.46500,0.13735
1545.47000,0.11532
1545.47500,0.08572
1545.48000,0.06763
1545.48500,0.06533
1545.49000,0.07618
1545.49500,0.09361
1545.50000,0.11663
1545.50500,0.14261
1545.51000,0.16892
1545.51500,0.19063
1545.52000,0.20543
1545.52500,0.21168
1545.53000,0.21398
1545.53500,0.21563
