표 1
a,b,,,, - Count 1, - Count 1, - Count 2,,
0.00000274,0.889577045951719,,,,136,3627,2828,0.123780015491867,0.889577045951719
0.00000276,0.894770383717431,,,,137,3598,2796,0.125430090710041,0.894770383717431
0.00000278,0.890552361865117,,,,138,3551,2767,0.12408990186768,0.890552361865117
0.0000028,0.859458411016002,,,,139,3595,2858,0.114210444754378,0.859458411016002
0.00000282,1.00593678847634,,,,140,3679,2660,0.160750907083136,1.00593678847634
0.00000284,0.891650280726115,,,,141,3506,2730,0.124438742783836,0.891650280726115
0.00000286,0.970642773282922,,,,142,3786,2801,0.149536966752695,0.970642773282922
0.00000288,0.88252439927499,,,,143,3585,2808,0.121539183481933,0.88252439927499
0.0000029,0.941816635422069,,,,144,3680,2774,0.140378060117756,0.941816635422069
0.00000292,0.805575762437739,,,,145,3582,2948,0.0970903522205207,0.805575762437739
0.00000294,0.823369373017865,,,,146,3617,2943,0.102743902439024,0.823369373017865
0.00000296,0.891832843202724,,,,147,3631,2827,0.124496748219263,0.891832843202724
0.00000298,0.84815860877945,,,,148,3519,2818,0.11062016727158,0.84815860877945
0.000003,0.800895172540783,,,,149,3501,2890,0.0956031919887342,0.800895172540783
0.00000302,0.659015024320067,,,,150,3410,3082,0.0505237215033888,0.659015024320067
0.00000304,0.727835721683079,,,,151,3585,3101,0.0723900688004786,0.727835721683079
0.00000306,0.476983865570632,,,,152,3190,3237,-0.00731289870857321,0.476983865570632
0.00000308,0.815495923608961,,,,153,3633,2971,0.100242277407632,0.815495923608961
0.0000031,0.783013738663732,,,,154,3412,2849,0.0899217377415748,0.783013738663732
0.00000312,0.846853075991425,,,,155,3541,2838,0.110205361341903,0.846853075991425
0.00000314,0.823124431876196,,,,156,3743,3046,0.102666077478274,0.823124431876196
0.00000316,0.9024491193266,,,,157,3709,2868,0.127869849475445,0.9024491193266
0.00000318,0.705271509819366,,,,158,3438,3017,0.0652207591014717,0.705271509819366
0.0000032,0.728702374733379,,,,159,3469,2999,0.072665429808287,0.728702374733379
0.00000322,0.65117346245126,,,,160,3382,3072,0.048032228075612,0.65117346245126
0.00000324,0.647674082957287,,,,161,3425,3118,0.0469203729176219,0.647674082957287
0.00000326,0.543257421852317,,,,162,3356,3265,0.0137441474097568,0.543257421852317
0.00000328,0.678739819070663,,,,163,3517,3139,0.0567908653846154,0.678739819070663
0.0000033,0.820503427138594,,,,164,3576,2915,0.101833307656756,0.820503427138594
0.00000332,0.796864782964347,,,,165,3643,3015,0.0943226194052268,0.796864782964347
0.00000334,0.875599829626061,,,,166,3658,2878,0.119339045287638,0.875599829626061
0.00000336,0.862525176222843,,,,167,3650,2896,0.115184845707302,0.862525176222843
0.00000338,0.826443294246,,,,168,3634,2951,0.103720577069096,0.826443294246
