Sample in Buffer,Sample in Window,TRIGGER,design_1_i/CIS_test_0_o_vsync,design_1_i/CIS_test_0_o_hsync,design_1_i/cis_pclk_1,design_1_i/cis_d_1[7:0],design_1_i/CIS_test_0_o_hsync_cnt[31:0],design_1_i/CIS_test_0_o_pclk_cnt[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
512,512,0,1,1,1,02,6,10281
513,513,0,1,1,1,02,6,10282
514,514,0,1,1,1,02,6,10283
515,515,0,1,1,1,02,6,10284
516,516,0,1,1,1,02,6,10285
517,517,0,1,1,1,02,6,10286
518,518,0,1,1,1,02,6,10287
519,519,0,1,1,1,02,6,10288
520,520,0,1,1,1,02,6,10289
521,521,0,1,1,1,02,6,10290
522,522,0,1,1,1,02,6,10291
523,523,0,1,1,1,02,6,10292
524,524,0,1,1,1,02,6,10293
525,525,0,1,1,1,02,6,10294
526,526,0,1,1,1,02,6,10295
527,527,0,1,1,1,02,6,10296
528,528,0,1,1,1,02,6,10297
529,529,0,1,1,1,02,6,10298
530,530,0,1,1,1,02,6,10299
531,531,0,1,1,1,02,6,10300
532,532,0,1,1,1,02,6,10301
533,533,0,1,1,1,02,6,10302
534,534,0,1,1,1,02,6,10303
535,535,0,1,1,1,02,6,10304
536,536,0,1,1,1,02,6,10305
537,537,0,1,1,1,02,6,10306
538,538,0,1,1,1,02,6,10307
539,539,0,1,1,1,02,6,10308
540,540,0,1,1,1,02,6,10309
541,541,0,1,1,1,02,6,10310
542,542,0,1,1,1,02,6,10311
543,543,0,1,1,1,02,6,10312
544,544,0,1,1,1,02,6,10313
545,545,0,1,1,1,02,6,10314
546,546,0,1,1,1,02,6,10315
547,547,0,1,1,1,02,6,10316
548,548,0,1,1,1,02,6,10317
549,549,0,1,1,1,02,6,10318
550,550,0,1,1,1,02,6,10319
551,551,0,1,1,1,02,6,10320
552,552,0,1,1,1,02,6,10321
553,553,0,1,1,1,02,6,10322
554,554,0,1,1,1,02,6,10323
555,555,0,1,1,1,02,6,10320
556,556,0,1,1,1,02,6,10324
557,557,0,1,1,1,02,6,10325
558,558,0,1,1,0,02,6,10326
559,559,0,1,1,0,02,6,10327
560,560,0,1,1,0,02,6,10328
561,561,0,1,1,0,02,6,10329
562,562,0,1,1,0,02,6,10330
563,563,0,1,1,0,02,6,10331
564,564,0,1,1,0,02,6,10332
565,565,0,1,1,0,02,6,10333
566,566,0,1,1,0,02,6,10334
567,567,0,1,1,0,02,6,10335
568,568,0,1,1,0,02,6,10336
569,569,0,1,1,0,02,6,10337
570,570,0,1,1,0,02,6,10338
571,571,0,1,1,0,02,6,10339
572,572,0,1,1,0,02,6,10340
573,573,0,1,1,0,02,6,10341
574,574,0,1,1,0,02,6,10342
575,575,0,1,1,0,02,6,10343
576,576,0,1,1,0,02,6,10344
577,577,0,1,1,0,02,6,10345
578,578,0,1,1,0,02,6,10346
579,579,0,1,1,0,02,6,10347
580,580,0,1,1,0,02,6,10348
581,581,0,1,1,0,02,6,10349
582,582,0,1,1,0,02,6,10350
583,583,0,1,1,0,02,6,10351
584,584,0,1,1,0,02,6,10352
585,585,0,1,1,0,02,6,10353
586,586,0,1,1,0,02,6,10354
587,587,0,1,1,0,02,6,10355
588,588,0,1,1,0,02,6,10356
589,589,0,1,1,0,02,6,10357
